38,45,26,37,23,29,17,48,24,74
18,55,93,77,48,56,23,29,86,55
48,89,73,9,96,47,54,72,89,99
83,45,35,17,97,90,64,20,46,37
58,9,12,32,19,16,70,11,10,20
97,31,35,70,51,76,55,90,97,49
62,25,26,9,81,41,56,1,81,98
27,87,97,37,54,86,41,84,42,94
48,40,62,34,0,0,66,14,26,32
2,31,5,21,22,64,16,35,67,81
29,45,93,13,25,29,0,39,6,72
36,23,90,25,31,38,23,15,92,40
21,25,58,5,60,81,99,18,24,22
13,67,14,5,47,86,78,93,61,98
39,0,85,21,54,4,40,85,87,3
78,75,40,31,28,33,5,16,64,38
44,60,88,93,23,74,31,53,36,0
64,29,14,39,44,3,38,84,79,2
79,42,73,19,8,50,68,8,37,47
10,6,83,39,31,65,94,63,47,41
62,51,3,22,86,73,98,74,94,37
32,2,88,64,54,55,45,22,23,57
56,6,58,25,22,46,22,40,35,62
56,74,6,38,41,89,16,47,9,20
31,38,51,38,10,13,0,31,52,35
76,72,11,23,9,68,24,47,94,21
58,74,28,16,71,40,87,80,42,8
28,33,60,34,14,56,63,48,10,31
46,84,42,60,4,82,24,16,30,22
42,68,93,65,23,3,62,75,86,54
68,81,65,88,7,94,75,43,42,50
9,7,57,9,72,30,22,82,24,37
75,50,36,49,18,53,72,69,73,50
38,23,79,3,47,98,84,63,28,80
8,13,73,92,66,71,29,51,0,64
25,98,49,6,33,50,94,82,34,60
6,60,53,29,28,19,90,97,39,30
65,77,56,2,54,51,11,10,84,32
32,14,74,0,76,33,8,46,43,60
7,97,31,27,71,24,74,81,53,48
91,51,85,86,99,95,45,39,97,16
65,10,86,70,35,37,3,73,64,7
18,3,45,40,41,97,79,29,67,78
99,82,0,45,63,88,52,39,24,78
22,37,52,74,51,84,55,3,12,62
22,10,18,57,10,13,23,10,33,56
11,11,50,49,91,93,56,12,15,85
83,80,79,90,33,56,32,24,4,42
72,46,59,66,2,75,70,13,17,55
17,22,44,79,25,29,48,49,8,13
6,37,80,67,52,73,59,3,14,97
51,41,28,63,92,61,55,88,38,29
20,68,92,14,98,98,30,29,75,93
6,58,75,22,7,80,79,7,78,87
38,92,21,78,62,59,49,86,10,66
61,70,15,73,26,68,15,7,49,12
98,39,50,25,76,93,34,17,99,88
83,54,89,44,98,37,4,44,60,19
92,37,96,63,95,46,57,68,66,34
65,88,5,45,0,77,64,55,12,80
75,15,1,39,75,65,80,6,27,23
54,28,72,44,45,11,39,10,90,52
92,48,97,89,4,61,29,22,46,97
87,93,10,29,15,93,8,18,59,37
77,35,60,55,31,26,67,98,89,45
14,34,75,17,14,39,97,51,77,37
86,56,52,36,91,43,20,14,11,26
62,52,18,80,61,50,77,85,64,19
55,36,66,67,58,94,88,18,17,81
93,22,75,66,9,64,47,7,98,17
0,38,77,99,27,34,42,76,17,26
37,46,36,99,12,29,1,63,17,34
61,62,86,45,37,26,43,0,3,82
10,41,60,55,78,95,3,13,54,44
22,88,21,94,71,42,98,27,47,35
13,7,69,13,44,16,95,30,38,81
94,53,21,72,30,28,20,26,61,48
95,45,96,40,36,46,58,33,41,46
95,75,73,1,37,96,60,45,53,35
65,1,0,50,58,1,88,99,57,93
62,92,73,33,18,34,83,26,32,87
32,47,52,29,59,41,77,84,73,4
96,9,2,51,76,41,83,9,44,92
66,74,26,66,93,30,88,81,80,55
69,42,39,42,93,50,38,72,13,24
2,80,51,4,89,67,1,34,35,43
21,90,50,91,83,64,83,55,38,11
59,9,6,38,59,20,32,78,71,60
75,69,24,26,93,8,10,70,57,38
28,29,59,87,25,70,84,1,1,7
90,14,49,91,89,96,88,99,65,73
35,65,40,51,82,63,91,99,91,49
11,8,13,49,48,96,44,71,19,74
96,19,7,48,6,56,6,13,70,91
41,76,41,36,99,71,50,57,96,12
54,72,74,50,1,8,39,45,77,33
49,26,33,72,75,87,35,78,5,75
20,99,35,37,25,81,31,68,59,60
39,8,59,71,33,69,35,84,58,99
65,98,46,15,1,34,19,18,76,43
